code,name_short,gender,function,country,nationality,height,weight,disciplines,events,birth_date,occupation,education,family,lang
1954705,HALIBURTON T,Male,Athlete,United States,United States,196,0,['Basketball'],['Men'],29/02/2000,Athlete,"Attended Iowa State University (Ames, IA, USA) (2018-2020). Decided he would forgo his final two seasons of eligibility to enter the 2020 NBA Draft","Father, John Haliburton. Mother, Brenda Haliburton",English
1954709,HOLIDAY J,Male,Athlete,United States,United States,193,0,['Basketball'],['Men'],12/06/1990,Athlete,"University of California, Los Angeles, USA (2008/09). He played NCAA basketball for one season with the UCLA Bruins before opting to go to the 2009 NBA draft, where he was selected as the 7th overall pick","Wife, Lauren. Daughter, Jrue Tyler. Son, Hendrix. Father, Shawn. Mother, Toya. Brothers, Justin and Aaron. Younger sister, Lauren",English
1954714,JAMES L,Male,Athlete,United States,United States,203,0,['Basketball'],['Men'],30/12/1984,Athlete,"Drafted to the NBA straight after high school, so did not attend college","Wife, Savannah Brinson. Sons, Bronny and Bryce. Daughter, Zhuri. Father, Anthony McClelland. Mother, Gloria Marie James",English
1954724,WHITE D,Male,Athlete,United States,United States,196,0,['Basketball'],['Men'],2/07/1994,Athlete,"Attended the University of Colorado-Colorado Springs (USA) for three years and the University of Colorado (Boulder, USA) for one year","Wife, Hannah Schneider (married 2021). Sons, Hendrix James (born 2022) and Daxton (born 2023). Father, Richard. Mother, Colleen. Sister, Brianna",English
1954729,COLLIER N,Female,Athlete,United States,United States,186,0,['Basketball'],['Women'],23/09/1996,Athlete,"Majored in Human Development and Family Studies at the University of Connecticut (Storrs, USA)","Partner, Alex Bazzell. Father, Gamal. Mother, Sarah. Younger brother, Ka. Older sister, Wanza",English
1954730,COPPER K,Female,Athlete,United States,United States,185,0,['Basketball'],['Women'],28/08/1994,Athlete,"Graduated in 2016 with a degree in Criminal Justice from Rutgers University (New Brunswick, NJ, USA)","Mother, Leticia. Three sisters, Letia, Latifah and Lattima",English
1954734,GRAY C,Female,Athlete,United States,United States,180,0,['Basketball'],['Women'],8/10/1992,Athlete,"Majored in Sociology with a minor in Theatre Studies, as well as completing a Markets and Management certificate, at Duke University (Durham, NC, USA)","Wife, Tipesa Mercedes Moorer (married 2019). Father, James. Mother, Vickey. Brother, Javon",English
1954735,GRINER B,Female,Athlete,United States,United States,203,0,['Basketball'],['Women'],18/10/1990,Athlete,"Studied at Baylor University (Waco, TX, USA)","Wife, Cherelle Griner. Father, Raymond.Mother, Sandra Griner. Three older siblings (D, Shkera, Pier)",English
1954736,HAMBY D,Female,Athlete,United States,United States,191,0,['3x3 Basketball'],['Women'],6/11/1993,Athlete,"Studied Psychology with a minor in Entrepreneurship at Wake Forest University (Winston-Salem, NC, USA)","Husband, Alonzo Nelson-Ododa. Daughter, Amaya. Son, Legend (born March 2023). Father, Derrick Jones. Mother, Carla. Sisters, Chelsie and Desaraye",English
1954738,HOWARD R,Female,Athlete,United States,United States,188,0,['3x3 Basketball'],['Women'],29/04/2000,,,,
1954739,IONESCU S,Female,Athlete,United States,United States,180,0,['Basketball'],['Women'],6/12/1997,"Athlete, coach, director of athletic culture","Received a Bachelor’s degree in Social Sciences with a minor in Legal Studies from the University of Oregon (Eugene, USA)","Father, Dan. Mother, Liliana Blaj. Brothers, Andrei and Edward (Sabrina's twin)","English., Romanian"
1954742,LOYD J,Female,Athlete,United States,United States,178,0,['Basketball'],['Women'],5/10/1993,"Athlete, business owner",,"Father, Calvin Loyd. Mother, Gwendolyn Davis-Loyd. Brother, Jarryd",English
1954748,PLUM K,Female,Athlete,United States,United States,173,0,['Basketball'],['Women'],24/08/1994,Athlete,"Majored in Anthropology at the University of Washington (Seattle, USA)","Ex-husband, Darren Waller (married March 2023, divorced April 2024). Father, Jim. Mother, Katie. Brother, Daniel. Sisters, Kaitlyn and Lauren",English
1954752,STEWART B,Female,Athlete,United States,United States,191,0,['Basketball'],['Women'],27/08/1994,Athlete,"Received a Bachelor’s degree in Sport in Society with a minor in Communications from the University of Connecticut (Storrs, USA) in 2016","Wife, Marta Xargay (married May 2021). Daughter: Ruby Mae Stewart-Xargay (born August 2021). Son, Theo Josep Stewart-Xargay (born October 2023). Father, Brian. Mother, Heather. Brother, Conor",English
1954753,TAURASI D,Female,Athlete,United States,United States,182,0,['Basketball'],['Women'],11/06/1982,Athlete,"Studied Sociology at the University of Connecticut (Storrs, USA)","Wife, Penny Taylor. Son, Leo Michael Taurasi-Taylor (born 2018). Daughter, Isla Taurasi-Taylor (born 2021). Father, Mario. Mother, Liliana. Sister, Jessika","English, Spanish"
1954754,THOMAS A,Female,Athlete,United States,United States,188,0,['Basketball'],['Women'],12/04/1992,Athlete,"Majored in Family Science at the University of Maryland (Washington, D.C. USA)","Father, Bobby. Mother, Tina Klotzbeecher-Thomas. Younger brother, Devin. Younger sister, Alexia",English
1954757,WILSON A,Female,Athlete,United States,United States,193,0,['Basketball'],['Women'],8/08/1996,"Athlete, Business Owner","Majored in Broadcasting and Communications - University of South Carolina, Columbia, SC, USA","Father, Roscoe C. Wilson Jr. Mother, Eva Rakes Wilson. Older brother, Renaldo",English
1954758,YOUNG J,Female,Athlete,United States,United States,183,0,['Basketball'],['Women'],16/09/1997,Athlete,"Studied at Notre Dame University (South Bend, IN, USA)",,English
1954765,BARRY C,Male,Athlete,United States,United States,198,0,['3x3 Basketball'],['Men'],7/01/1994,"Athlete, system engineer","Graduated summa cum laude (with the highest distinction) with a Bachelor's degree in Physics from the College of Charleston (SC, USA) and a Master's degree in Nuclear Engineering from the University of Florida (Gainesville, USA). Thesis is called 'Investigations in Neutron Multiplicity Using Helium-4 Detectors.'","Father, Rick. Mother, Lynn Norenberg. Five half siblings, Scooter, Brent, Jon, Drew and Shannon",English
1954768,BURDICK C,Female,Athlete,United States,United States,190,0,['3x3 Basketball'],['Women'],30/09/1993,Athlete,"Studied Communications at the University of Tennessee (Knoxville, USA)","Father, Derrick Heard. Mother, Lisa. Brother, C.J. Twin sisters, Emma and Jillian",English
1954772,FREDETTE J,Male,Athlete,United States,United States,189,0,['3x3 Basketball'],['Men'],25/02/1989,Athlete,"Majored in American Studies at Brigham Young University (Provo, UT, USA)","Wife, Whitney. Daughters, Wesley (born February 2017) and Greyson (born May 2022). Son, Taft (born March 2019). Father, Al. Mother, Kay. Brother, T.J. Sister, Lindsay",English
1954779,MADDOX K,Male,Athlete,United States,United States,204,0,['3x3 Basketball'],['Men'],9/12/1989,Athlete. Personnel and player development associate,"Studied English Literature at Princeton University (NJ, USA)","Father, Alan. Mother, Iman Zaki. Brother, Jay",English
1954784,TRAVIS D,Male,Athlete,United States,United States,192,0,['3x3 Basketball'],['Men'],26/05/1993,"Athlete, teacher, coach","Received a Bachelor's degree in Social Sciences from Florida Southern College (Lakeland, USA)","Mother, Julie",English
1954785,van LITH H,Female,Athlete,United States,United States,175,0,['3x3 Basketball'],['Women'],9/09/2001,"Athlete, student","Received a Bachelor's degree in Finance from the University of Louisville (KY, USA) in 2023. Attended Louisiana State University (Baton Rouge, USA) for one year and will play her final year of college eligibility at Texas Christian University (Fort Worth, USA) in the autumn of 2024","Father, Corey. Mother, Jessica. Brother, Tanner",English
1954791,ABADIA A,Male,Athlete,Spain,Spain,0,0,['Diving'],"[""Men's Synchronised 3m Springboard""]",5/04/2002,,,,"English, Spanish"
1954792,ANTOLINO V,Female,Athlete,Spain,Spain,0,0,['Diving'],"[""Women's 3m Springboard""]",30/08/2002,Athlete,,,Spanish
